# Hurst index, argmin set length, argmin set center, hurst range
4.438284901364232260e-01,1.738322913943564973e+00,1.010166134944560312e+00,4.513900862614378395e-01
2.176341902399038242e-01,1.328428060231203744e+00,4.322349244179568561e-02,2.530768616821691963e-01
2.341837706340582637e-01,1.387437124292098645e+00,4.905278659438629951e-01,4.432842080889350944e-01
1.630267794174526386e-01,1.744494744433441547e+00,9.062632971616695343e-01,1.630945952512052322e-01
9.286470092986175429e-01,3.039049626202909860e+00,-9.472034928873627191e-01,1.330345814508637758e-04
7.393170708322839291e-01,7.218539208240994931e-01,-1.465560740087415992e+00,1.092218202183051767e-01
5.268356259735393898e-01,2.808368790045966623e+00,-3.561811871398501417e-02,1.772243833428082116e-01
5.010084172939440750e-01,2.687481922280734459e-01,8.364106571208582697e-01,3.235035240296446624e-02
4.374219364632414009e-01,2.747935727823587193e+00,1.470903877824296213e+00,2.062364809893336148e-01
4.266573624594071634e-01,6.368137851407751349e-02,-1.118517772526011811e+00,1.298419198544547570e-01
2.282565782836615820e-01,2.430359440320370545e+00,-1.144772483861686840e+00,5.489080385428402042e-01
6.150273313154778348e-02,5.920865174736720249e-01,1.002694038229974272e+00,4.330283410529904842e-01
8.606433687053109960e-01,5.108896110816327774e-01,3.614402359209357707e-01,2.986426185749402329e-03
5.981382164851500871e-01,2.450207864476306785e+00,-4.532944623644141746e-01,2.728781425919166725e-01
5.118050410410983631e-01,1.629870553361978613e+00,-7.305808157288161686e-01,1.394706304940869224e-01
3.253270241623243964e-01,2.671388974092109514e+00,9.007046864721890422e-01,1.901969039990877297e-01
6.698535456392208376e-01,7.258906442779836654e-01,-1.064588253129312267e+00,4.586877818143975105e-02
6.237688064392722387e-01,9.478761601706200413e-01,-8.835429802397100074e-01,1.877796190460609971e-01
6.494915007367902948e-01,2.054194757069700117e+00,2.756896789427842887e-02,2.968709785903651532e-01
6.547793731524199634e-01,3.347626648027852703e-01,-9.694614997899371200e-01,2.381231267046549638e-01
3.908128478048673027e-01,1.860606656510000789e+00,-1.219056626896639628e+00,2.899446589671180186e-01
3.220447045681551490e-01,1.829589168569205615e-01,-1.411407416432327366e+00,4.169059852012966250e-01
2.934795499680480368e-01,6.797650383385196449e-01,1.468286047025614494e+00,4.536827783878566445e-01
2.004252827900506184e-01,1.640303765829788984e+00,1.365282649313687147e-01,2.941649508217004105e-01
9.468101525801871921e-01,3.017239400940311622e+00,6.291851859684092219e-01,1.009098590870949330e-03
6.664718699367214727e-01,2.737655765921715556e+00,3.820889171202956902e-01,1.240750454403104497e-01
2.925547210552263966e-01,9.891480496365261388e-01,1.403187764838467633e+00,3.262191805419688562e-01
8.538749120436217588e-01,1.355484749740324624e+00,-1.307734129479916962e+00,2.015888913842611707e-02
2.144240225742424788e-01,2.298777501505981924e+00,8.276656885897470950e-01,6.278235674566436941e-01
7.039722045447565080e-01,2.717862131416377558e+00,-9.556775206060659222e-01,2.088542521771709071e-01
9.425758930642468281e-01,2.034816161297834380e+00,-3.926432726693396269e-02,1.745094953069403765e-03
8.675364220609100840e-01,9.210938653492588557e-01,-1.151498495946642553e+00,5.660177776829922180e-03
1.409779042777622449e-01,2.702713336787082365e+00,-3.587487183236370836e-01,7.511673645745258199e-01
6.769528288703960395e-02,8.043263413299234221e-01,-3.508775595079562382e-01,8.410587639932374238e-01
4.339169435619800175e-01,1.513495689693376001e-01,4.931694720601143000e-01,1.306136290503062125e-01
6.137935060588272096e-01,1.456047766214341177e+00,2.878249003476052170e-02,9.305788493144928619e-02
2.179011310603842788e-01,2.297202039328316570e+00,2.759734441877337296e-02,1.897243284349069969e-01
1.430937995179982769e-01,2.968967279524159508e+00,-1.399828670254890106e+00,6.015290181239808520e-01
2.301141585739139850e-01,1.228128328052801699e+00,1.251257359758999765e+00,2.788750554712173257e-01
4.675175652290615158e-01,1.732337852257324284e+00,-3.211964356608619786e-01,2.274642906323379732e-01
5.237595718674308287e-01,1.299394633192971549e+00,-1.850315232594390569e-02,2.658939846942942609e-01
2.218375965017652107e-01,8.118327413754389266e-01,-1.028316539350297099e+00,4.867880114566398020e-01
1.022752509513795149e-01,1.196301887522964735e+00,9.080957129291972185e-01,7.342789558089581892e-01
6.494811917882231667e-01,3.892559612626658172e-01,-6.203337635504637682e-01,1.626294230846571098e-01
4.044015959794261539e-01,2.627922548079468790e+00,8.757117260405622439e-01,2.231893630686371255e-01
9.366980081580128514e-02,3.107416518536059158e+00,2.257242654666047343e-01,1.398596572658344084e-01
8.857890351703751053e-02,2.469273061923888513e+00,-1.096186882175147925e+00,3.797723097818794247e-01
6.310056690574632476e-01,3.843851306084367092e-01,-2.744350845248438864e-01,1.322549243040276323e-01
8.282393480212324466e-01,8.581376013583619233e-02,-5.886274557050273915e-01,5.448942986709570668e-02
5.422692922187285491e-01,9.674685728094027937e-01,-1.427599882371164419e+00,8.579625958093417548e-02
4.173774802998773126e-01,1.569714453650812302e+00,4.591680328134915001e-01,4.111281244729216855e-01
1.919031518963875138e-01,2.133060048774232165e+00,1.518981340764624210e+00,2.941210799621173932e-01
9.850119763859938038e-02,2.591434552008894610e+00,-1.473842416971505420e+00,8.179957797039285605e-01
7.947106491014114260e-01,2.664685641112283676e+00,8.679366153945320406e-01,4.108058632483013728e-02
7.712431304148148481e-01,1.338259212041584156e+00,7.265664905193145451e-01,1.353747203830144574e-01
8.263673393464755490e-01,3.209991528385730541e-01,-6.483892130205415327e-01,5.081321325635990149e-03
2.730645981601348971e-01,3.092426515049525371e+00,5.923956226864510732e-01,3.104502416761652506e-01
7.763894985473389632e-01,3.030887530067113422e-01,-4.428993076323603506e-01,1.594013685868270747e-01
3.279240129095822853e-01,1.166958813770524461e+00,-7.497431910450740311e-01,2.332014613154068661e-01
2.806525020290048800e-01,2.905328437976031797e+00,1.462547193520666866e-01,3.774988776489481279e-01
3.914734239721369136e-01,9.671851554380972438e-01,1.004310210072465237e+00,5.910069003414453181e-03
8.812799119745465815e-01,2.595661702687708683e+00,1.296421241800336688e+00,4.325544112456369827e-02
5.385202600371884474e-01,1.363990413226039422e-01,-2.101393058590577123e-01,9.389201486696696630e-02
2.804781017445328040e-01,1.754270402877660118e+00,9.577879307669716624e-01,3.636127619863508409e-01
3.320036250778132803e-01,1.210479337600458782e+00,4.477167538016165738e-01,1.822220780104865656e-01
6.793823779049898981e-01,7.114406729892701620e-01,-6.726968087264846297e-01,2.087844266865900300e-01
7.325747523820459461e-01,5.112775613133013763e-01,8.183259079493758748e-01,1.212403599119687980e-01
2.418348728159200878e-01,1.729110340348758657e+00,3.354852722657492015e-01,6.603686904548666803e-01
7.765269740700704304e-01,8.381070360313054302e-01,-7.982754089443628853e-01,1.645178884825715393e-02
1.444793753165981576e-01,9.528031745787277629e-01,1.385607581173540659e+00,4.709132310211774919e-02
8.235806920188861735e-01,2.916044312543994543e+00,-4.106908560934150465e-01,5.482817608742085458e-02
7.003438559418536657e-01,6.085878273931497606e-01,-6.422759669075955857e-01,2.485812547388457361e-01
6.944664094627964745e-01,3.633905990779369155e-01,-2.292656191379467412e-01,4.429266929033726097e-02
2.695820173588230340e-01,2.030295145325989203e+00,1.361530867366365083e+00,3.892634032462815030e-01
6.920913103315364800e-01,6.603007937195572996e-01,-2.130774651197423486e-01,1.705623445349018219e-01
2.190644079422031654e-01,1.800920558235695967e+00,-8.913214015071082574e-01,4.519107697799066292e-01
8.285425265643218129e-01,9.981515358129366966e-01,-4.631515917225972334e-01,1.035318046773334721e-01
3.435358433310399251e-01,2.890007446862751905e+00,3.118770203260661233e-01,3.281382400521341003e-01
7.981113889047632970e-01,1.812680589880262261e-01,1.033452976325595962e+00,3.745081560253726849e-02
7.512565973966719435e-01,1.588582281057430823e+00,-3.078481576058356151e-01,1.619918337828848420e-01
2.404880095937697027e-01,1.654666041478649152e+00,1.375483996446837720e+00,2.251040837416369289e-01
2.733892026089045912e-01,1.136832195083771424e+00,-1.273125242510981359e+00,3.444757132492951013e-01
9.476907860385359594e-01,8.874163994398385213e-01,1.317203869769185243e+00,1.922451281114234689e-03
3.980624600732157181e-01,8.308633011837516236e-01,1.286062587597665008e+00,4.103154236468394278e-01
2.062302470119842801e-01,1.746115534189807139e-01,4.909376166907380989e-01,1.921261828588720078e-01
3.859247678893490408e-01,1.960888126633083761e+00,1.463616968300690102e+00,2.083009083833181618e-01
5.802960423203684659e-01,6.615593584517611703e-01,1.130606585571234390e+00,1.558846462706893199e-01
5.427076410072620982e-01,2.072513522246426376e+00,-2.271907161329689284e-01,2.929056431908110270e-01
6.956045438822606730e-01,2.045414129812999970e+00,-8.739189030394969304e-01,5.668425871391835624e-02
1.873357059955268467e-01,1.585553572699076375e+00,-4.735310100979158721e-01,3.662677963762418498e-01
3.506460417395411699e-01,5.074415335162489882e-01,1.524487866249776946e+00,3.863386893059232996e-01
6.371264695281680934e-01,6.565726332361609963e-01,-9.492936429450504754e-01,1.579542316245127198e-01
3.679895240029828485e-01,2.786660838837682341e+00,1.326947457186213430e+00,2.832930437823020786e-01
9.494388759409442269e-01,1.917285076236468377e+00,-7.315233605887914159e-01,4.213951493657885905e-04
