# Hurst index, argmin set length, argmin set center, Hmax - Hmin
5.013900862614377729e-01,1.738322913943564973e+00,1.010166134944560312e+00,3.938284901364232926e-01
3.030768616821691852e-01,1.328428060231203744e+00,4.322349244179568561e-02,1.676341902399037798e-01
4.932842080889350278e-01,1.387437124292098645e+00,4.905278659438629951e-01,1.841837706340582193e-01
2.130945952512052211e-01,1.744494744433441547e+00,9.062632971616695343e-01,1.130267794174526497e-01
5.013303458145085267e-02,3.039049626202909860e+00,-9.472034928873627191e-01,8.786470092986176095e-01
1.592218202183051656e-01,7.218539208240994931e-01,-1.465560740087415992e+00,6.893170708322839957e-01
2.272243833428082005e-01,2.808368790045966623e+00,-3.561811871398501417e-02,4.768356259735394009e-01
8.235035240296442738e-02,2.687481922280734459e-01,8.364106571208582697e-01,4.510084172939441416e-01
2.562364809893336037e-01,2.747935727823587193e+00,1.470903877824296213e+00,3.874219364632414120e-01
1.798419198544548014e-01,6.368137851407751349e-02,-1.118517772526011811e+00,3.766573624594071190e-01
5.989080385428402487e-01,2.430359440320370545e+00,-1.144772483861686840e+00,1.782565782836615931e-01
4.830283410529904176e-01,5.920865174736720249e-01,1.002694038229974272e+00,1.150273313154775989e-02
5.298642618574940510e-02,5.108896110816327774e-01,3.614402359209357707e-01,8.106433687053109516e-01
3.228781425919166059e-01,2.450207864476306785e+00,-4.532944623644141746e-01,5.481382164851500427e-01
1.894706304940868558e-01,1.629870553361978613e+00,-7.305808157288161686e-01,4.618050410410984297e-01
2.401969039990877741e-01,2.671388974092109514e+00,9.007046864721890422e-01,2.753270241623243519e-01
9.586877818143973995e-02,7.258906442779836654e-01,-1.064588253129312267e+00,6.198535456392206822e-01
2.377796190460610415e-01,9.478761601706200413e-01,-8.835429802397100074e-01,5.737688064392721943e-01
3.468709785903651421e-01,2.054194757069700117e+00,2.756896789427842887e-02,5.994915007367902504e-01
2.881231267046549527e-01,3.347626648027852703e-01,-9.694614997899371200e-01,6.047793731524200300e-01
3.399446589671179519e-01,1.860606656510000789e+00,-1.219056626896639628e+00,3.408128478048673693e-01
4.669059852012965584e-01,1.829589168569205615e-01,-1.411407416432327366e+00,2.720447045681552156e-01
5.036827783878566889e-01,6.797650383385196449e-01,1.468286047025614494e+00,2.434795499680481035e-01
3.441649508217003439e-01,1.640303765829788984e+00,1.365282649313687147e-01,1.504252827900505740e-01
5.100909859087093823e-02,3.017239400940311622e+00,6.291851859684092219e-01,8.968101525801872587e-01
1.740750454403104941e-01,2.737655765921715556e+00,3.820889171202956902e-01,6.164718699367214283e-01
3.762191805419688451e-01,9.891480496365261388e-01,1.403187764838467633e+00,2.425547210552264077e-01
7.015888913842613372e-02,1.355484749740324624e+00,-1.307734129479916962e+00,8.038749120436217144e-01
6.778235674566435165e-01,2.298777501505981924e+00,8.276656885897470950e-01,1.644240225742424899e-01
2.588542521771708960e-01,2.717862131416377558e+00,-9.556775206060659222e-01,6.539722045447564636e-01
5.174509495306941348e-02,2.034816161297834380e+00,-3.926432726693396269e-02,8.925758930642467837e-01
5.566017777682988332e-02,9.210938653492588557e-01,-1.151498495946642553e+00,8.175364220609100396e-01
8.011673645745258643e-01,2.702713336787082365e+00,-3.587487183236370836e-01,9.097790427776220046e-02
8.910587639932374682e-01,8.043263413299234221e-01,-3.508775595079562382e-01,1.769528288703958729e-02
1.806136290503062569e-01,1.513495689693376001e-01,4.931694720601143000e-01,3.839169435619799731e-01
1.430578849314492751e-01,1.456047766214341177e+00,2.878249003476052170e-02,5.637935060588272762e-01
2.397243284349069303e-01,2.297202039328316570e+00,2.759734441877337296e-02,1.679011310603842344e-01
6.515290181239808964e-01,2.968967279524159508e+00,-1.399828670254890106e+00,9.309379951799823250e-02
3.288750554712172036e-01,1.228128328052801699e+00,1.251257359758999765e+00,1.801141585739139961e-01
2.774642906323379621e-01,1.732337852257324284e+00,-3.211964356608619786e-01,4.175175652290615269e-01
3.158939846942941387e-01,1.299394633192971549e+00,-1.850315232594390569e-02,4.737595718674308398e-01
5.367880114566396799e-01,8.118327413754389266e-01,-1.028316539350297099e+00,1.718375965017652218e-01
7.842789558089582336e-01,1.196301887522964735e+00,9.080957129291972185e-01,5.227525095137952604e-02
2.126294230846570432e-01,3.892559612626658172e-01,-6.203337635504637682e-01,5.994811917882231223e-01
